Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted total",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2014-0183-GTM,2014,183,,Natural,Meteorological,Storm,Tropical cyclone,,Boris,Guatemala,GTM,Central America,Americas,"Alta Verapaz, Huehuetenango, Petén, Quiché, San Marcos provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2014,5,30,2014,6,6,5,,100000,,100000,,,,,,,87.36629784,1,64832;64833;64834;64836;64837,,"Alta Verapaz, Huehuetenango, Petén, Quiché, San Marcos (Adm1)."
2015-0375-DMA,2015,375,TC-2015-000119,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Erika,Dominica,DMA,Caribbean,Americas,"Petite Savanne, Pichelin villages (St. Patrick province), Good Hope, Petite Soufriere villages (St. David province), Bath Estate village (St. George province), Dubique village (St. Andrew province), Campbell village (St. Paul province), Coulibistrie village (St. Joseph province)",,Flood,"Slide (land, mud, snow, rock)",Yes,,Yes,,,Kph,,,,,2015,8,27,2015,8,27,30,20,28000,574,28594,,,,,482810,551973,87.46993221,1,1098;1099;1100;1102;1105;1106,,"St. Andrew, St. David, St. George, St. Joseph, St. Patrick, St. Paul (Adm1)."
2015-0479-BHS,2015,479,TC-2015-000142,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Joaquin,Bahamas,BHS,Caribbean,Americas,"Exuma, Long Island, Mayaguana, Rum Cay, San Salvador, Samana Cay, Crooked Isl., Ragged Islands (Administrative unit not available)",,Flood,Surge,Yes,,,,,Kph,,,,,2015,10,1,2015,10,4,33,,6710,,6710,,,61000,69738,90000,102893,87.46993221,1,561,,Administrative unit not available (Adm1).
2015-0375-DOM,2015,375,TC-2015-000119,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Erika,Dominican Republic,DOM,Caribbean,Americas,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",,,,,,,,,Kph,,,,,2015,8,28,2015,8,28,,,33,2100,2133,,,,,,,87.46993221,1,1108;1109;1110;1111;1112;1113;1114;1115;1116;1117;1118;1119;1120;1121;1122;1123;1124;1125;1126;1127;1128;1129;1130;1131;1132;1133;1134;36854;36855;36856;36857;36858,,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde (Adm1)."
2014-0183-MEX,2014,183,,Natural,Meteorological,Storm,Tropical cyclone,,Boris,Mexico,MEX,Central America,Americas,"Chiapas, Oaxaca provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,40,Kph,,,,,2014,5,30,2014,6,6,,,,,,,,,,,,87.36629784,1,2032;2047,,"Chiapas, Oaxaca (Adm1)."
2014-0333-MEX,2014,333,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Odile,Mexico,MEX,Central America,Americas,"Cabo San Lucas city (Los Cabos area, La Paz district, Baja California Sur province)",,Flood,Rain,,,,,205,Kph,,,,,2014,9,10,2014,9,17,6,135,75000,,75135,,,1200000,1373527,2500000,2861515,87.36629784,2,,19573,La Paz (Adm2).
2014-0417-MEX,2014,417,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Trudy,Mexico,MEX,Central America,Americas,"Tlacoachistlahuaca, Huamuxtitlan, Tlalixtaquilla, Malinaltepec districts (Guerrero province), Oaxaca province",,"Slide (land, mud, snow, rock)",Flood,,,Yes,,,Kph,,,,,2014,10,18,2014,10,20,6,,30000,,30000,,,,,2000,2289,87.36629784,1;2,2047,19955;19965;19986;19989,"Oaxaca (Adm1). Huamuxtitlan, Malinaltepec, Tlacoachistlahuaca, Tlalixtaquilla De M. (Adm2)."
2014-0385-MEX,2014,385,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Dolly,Mexico,MEX,Central America,Americas,"Tamaupilas, Veracruz provinces",,Rain,,,,,,75,Kph,,,,,2014,9,4,2014,9,8,1,,1500,,1500,,,,,500,572,87.36629784,1,2055;2057,,"Tamaulipas, Veracruz (Adm1)."
2014-0325-MEX,2014,325,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Marie,Mexico,MEX,Central America,Americas,"Oaxaca, Guerrero provinces",,Flood,,,,Yes,,220,Kph,,,,,2014,8,22,2014,9,2,3,,30000,,30000,,,,,14000,16024,87.36629784,1,2039;2047,,"Guerrero, Oaxaca (Adm1)."
2014-0386-MEX,2014,386,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Norbert,Mexico,MEX,Central America,Americas,"La Paz district (Bafa California Sur province), Manzanillo district (Colima province), Mazatlan district (Sinaloa province), Baja Peninsula, Chihuahua, Jalisco, Nayarit,",,Flood,,,,,,205,Kph,,,,,2014,9,2,2014,9,11,3,,7500,,7500,,,,,25000,28615,87.36629784,1;2,2029;2033;2041;2045,19573;19818;20891,"Baja California, Chihuahua, Jalisco, Nayarit (Adm1). La Paz, Manzanillo, Mazatlan (Adm2)."
